Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
"Bevanda a base di riso, naturale, arricchita di calcio",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,226,54,1.3,0.1,0.4,0.6,0,10.3,2.8,2.1,0.1,0.2,0.0,0.0,88.2,1,0,0,5,5,0.01,0.0,0.0,0.0,0.13,1.6,0.13,0.0,0.0,31.0,15.0,58.0,120.0,6.8,7.1,0.1,2.1,0.1,0.1
"Bevanda a base di soia, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,178,43,2.1,0.3,0.4,1.1,0,1.5,1.4,0.1,0.6,4.2,0.1,0.0,92.6,0,0,0,2,2,0.04,0.01,0.04,0.0,0.17,17.7,0.12,0.0,0.0,160.0,23.0,12.0,12.0,20.0,50.0,0.5,1.3,0.3,1.0
"Bevanda a base di soia, naturale, arricchita di calcio e vitamine",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,178,43,2.1,0.3,0.4,1.1,0,1.5,1.4,0.1,0.6,4.2,0.1,0.0,92.6,0,0,0,2,2,0.04,0.16,0.04,0.29,0.17,17.7,0.12,0.0,0.6,160.0,23.0,12.0,120.0,20.0,81.0,0.5,1.3,0.3,1.0
"Bevanda al malto e cacao, arricchita di vitamine e minerali, polvere (Media di prodotti commerciali)",Bevande analcoliche/Bevande a base d'estratto di malto,per 100 g di parte edibile,1620,382,3.6,2.4,1.1,0.1,4,76.2,52.1,0.0,4.4,8.9,0.5,0.0,5.2,637,637,637,1,1,0.88,1.11,1.11,1.99,12.74,238.0,4.78,47.7,4.0,660.0,200.0,59.0,440.0,190.0,470.0,12.0,2.8,1.5,0.0
"Bevanda al malto e cacao, arricchita di vitamine e minerali, preparata (con latte)",Bevande analcoliche/Bevande a base d'estratto di malto;Latte e prodotti di latte/Bevande a base di latte e yogurt,per 100 g di parte edibile,341,81,3.0,1.8,0.7,0.1,11,9.8,8.1,0.0,0.3,3.6,0.1,0.0,83.1,73,72,71,13,13,0.08,0.23,0.1,0.35,0.99,21.4,0.65,4.0,0.3,200.0,50.0,95.0,140.0,23.0,120.0,0.8,9.9,0.4,0.0
Bevanda gassata a base di cola edulcorata,Bevande analcoliche/Bevande a ridotto contenuto calorico,per 100 ml,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0,0,0,0,0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,4.0,1.0,8.0,0.0,1.0,0.1,0.0
Bevanda gassata a base di cola zuccherata,Bevande analcoliche/Bevande zuccherate,per 100 ml,170,40,0.0,0.0,0.0,0.0,0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,89.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,5.0,1.0,15.0,0.0,2.0,0.0,0.0
Biber,Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1500,355,5.6,0.7,3.0,1.3,22,65.6,36.9,28.4,3.0,7.8,0.0,0.7,18.1,8,8,7,2,2,0.08,0.12,0.11,0.06,0.35,9.8,0.24,0.5,0.1,140.0,6.2,37.0,52.0,30.0,97.0,1.3,2.7,0.8,2.0
"Bietola da coste, cruda",Verdure/Verdure fresche,per 100 g di parte edibile,97,23,0.2,0.0,0.0,0.0,0,2.7,0.5,2.2,1.0,2.1,0.4,0.0,92.4,236,118,0,1415,1415,0.07,0.13,0.08,0.0,0.4,17.8,0.18,21.3,0.0,380.0,170.0,100.0,80.0,81.0,43.0,2.3,1.0,0.3,0.0
"Bietola, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,121,29,0.3,0.0,0.0,0.0,0,3.4,0.6,2.8,1.2,2.6,0.5,0.0,92.5,279,140,0,1675,1675,0.07,0.15,0.09,0.0,0.42,14.0,0.2,15.4,0.0,420.0,190.0,130.0,100.0,96.0,54.0,2.4,1.3,0.4,0.0
"Birchermüesli, preparato (non zuccherato)",Cibi/Muesli e pappa,per 100 g di parte edibile,361,86,3.1,1.1,1.0,0.7,5,11.1,8.2,2.8,1.5,2.6,0.0,0.0,81.7,18,16,15,20,20,0.05,0.09,0.05,0.09,0.19,9.4,0.23,4.7,0.0,160.0,19.0,79.0,59.0,19.0,78.0,0.3,5.8,0.4,0.0
Birra ai cinque cereali,Bevande alcoliche/Birra,per 100 ml,165,40,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,0.2,0.6,0.0,4.1,92.5,0,0,0,0,0,0.0,0.04,0.09,0.1,0.77,5.0,0.09,0.0,0.0,43.0,1.4,11.0,3.6,11.0,16.0,0.0,0.0,0.0,0.0
Birra panaché (media),Bevande alcoliche/Birra,per 100 ml,166,39,0.0,0.0,0.0,0.0,0,7.4,7.1,0.0,0.0,0.2,0.0,1.3,91.1,0,0,0,0,0,0.0,0.02,0.02,0.01,0.27,2.1,0.01,0.0,0.0,24.0,2.6,13.0,4.5,11.0,7.0,0.1,1.7,0.0,0.0
"Birra, analcolica",Bevande alcoliche/Birra,per 100 ml,99,23,0.0,0.0,0.0,0.0,0,4.9,2.6,0.0,0.0,0.4,0.0,0.3,93.3,0,0,0,0,0,0.01,0.01,0.04,0.02,0.65,5.0,0.08,0.0,0.0,34.0,1.5,19.0,4.8,6.2,11.0,0.0,1.0,0.0,0.0
"Birra, lager",Bevande alcoliche/Birra,per 100 ml,176,42,0.0,0.0,0.0,0.0,0,3.1,2.2,0.0,0.0,0.5,0.0,4.0,91.9,0,0,0,0,0,0.0,0.03,0.06,0.02,0.77,6.3,0.03,0.0,0.0,55.0,1.9,17.0,3.5,9.6,19.0,0.0,1.5,0.0,0.0
Biscotti al cocco,Dolciumi/Biscotti,per 100 g di parte edibile,2280,549,38.9,33.8,1.5,0.2,0,35.1,35.1,0.0,15.7,6.9,0.2,0.0,4.1,0,0,0,0,0,0.02,0.07,0.06,0.06,0.39,14.0,0.04,0.0,0.0,480.0,98.0,260.0,8.3,66.0,120.0,1.8,5.3,0.9,6.6
Biscotti alle nocciole,Dolciumi/Biscotti,per 100 g di parte edibile,1970,473,27.7,8.0,16.0,2.3,32,47.4,23.3,24.0,3.5,6.7,0.1,0.0,13.5,100,94,89,64,64,0.09,0.07,0.11,0.0,0.57,11.0,0.3,0.6,0.0,220.0,52.0,30.0,80.0,49.0,160.0,1.6,2.0,0.9,0.0
Biscotti prussiani,Dolciumi/Biscotti,per 100 g di parte edibile,1830,438,22.4,13.2,5.2,1.3,59,53.8,27.4,26.0,1.2,4.7,0.8,0.0,18.3,205,198,190,89,89,0.06,0.02,0.06,0.0,0.12,3.0,0.14,0.0,0.4,75.0,310.0,480.0,10.0,14.0,52.0,0.6,0.6,0.5,1.0
Biscotti savoiardi,Dolciumi/Biscotti,per 100 g di parte edibile,1740,413,8.3,2.4,3.2,1.2,281,71.8,34.9,36.8,1.4,12.2,0.8,0.0,5.0,168,167,166,9,9,0.07,0.2,0.1,1.0,0.26,25.0,0.9,0.0,1.0,140.0,310.0,150.0,65.0,15.0,330.0,2.1,8.0,1.4,0.0
"Blanc battu alla frutta, con edulcoranti",Latte e prodotti di latte/Formaggio fresco e quark,per 100 g di parte edibile,285,67,0.2,0.1,0.0,0.0,0,8.3,5.2,2.6,0.3,8.0,0.1,0.0,83.1,4,3,2,13,13,0.03,0.34,0.04,0.39,0.28,15.1,0.37,1.5,0.0,180.0,48.0,110.0,130.0,13.0,140.0,0.1,19.0,0.5,0.0
"Blanc battu, naturale, magro",Latte e prodotti di latte/Formaggio fresco e quark,per 100 g di parte edibile,200,47,0.0,0.0,0.0,0.0,1,3.9,3.9,0.0,0.0,7.8,0.1,0.0,86.5,5,4,4,3,3,0.04,0.32,0.06,0.36,0.2,24.0,0.35,0.0,0.1,140.0,44.0,89.0,130.0,12.0,120.0,0.2,10.0,0.5,0.0
Bombolone farcito ,Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1410,336,12.8,6.8,4.0,0.9,104,45.8,17.1,28.5,2.2,8.4,0.6,0.0,32.2,130,126,122,50,50,0.05,0.1,0.1,0.0,0.48,14.0,0.38,0.2,1.0,110.0,250.0,400.0,38.0,16.0,100.0,1.3,4.1,0.9,0.0
Bresaola,Prodotti carnei e insaccati/Insaccati crudi,per 100 g di parte edibile,704,167,3.9,1.6,1.9,0.2,65,0.4,0.0,0.0,0.0,32.4,6.8,0.0,58.2,0,0,0,0,0,0.12,0.6,0.53,0.0,0.0,19.0,0.0,0.0,0.5,320.0,2730.0,0.0,35.0,0.0,140.0,7.1,0.0,4.1,0.0
"Broccoli, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,149,35,0.5,0.1,0.1,0.2,0,2.9,1.7,0.5,2.8,3.3,0.0,0.0,90.9,80,40,0,479,479,0.08,0.1,0.17,0.0,0.62,34.8,0.63,74.2,0.0,320.0,9.8,71.0,42.0,19.0,73.0,0.7,6.9,0.4,0.7
"Broccoli, crudi",Verdure/Verdure fresche,per 100 g di parte edibile,163,39,0.6,0.2,0.1,0.3,0,3.2,1.9,0.6,3.2,3.6,0.0,0.0,88.2,92,46,0,554,554,0.1,0.12,0.21,0.0,0.8,60.3,0.77,102.9,0.0,390.0,12.0,78.0,46.0,21.0,80.0,0.9,7.6,0.5,0.8
Brodo di carne preparato,Cibi/Brodi e zuppe,per 100 g di parte edibile,20,5,0.3,0.2,0.1,0.0,0,0.2,0.0,0.1,0.0,0.3,1.1,0.0,98.0,0,0,0,0,0,0.0,0.01,0.01,1.0,0.83,23.0,0.14,0.0,0.0,54.0,420.0,330.0,1.0,10.0,13.0,0.2,3.0,0.0,0.0
Brodo di pollo preparato,Cibi/Brodi e zuppe,per 100 g di parte edibile,21,5,0.3,0.1,0.1,0.1,5,0.3,0.1,0.1,0.0,0.3,1.0,0.0,98.1,0,0,0,0,0,0.0,0.01,0.01,0.4,1.2,23.0,0.18,0.0,0.0,10.0,400.0,290.0,6.0,11.0,5.0,0.0,2.8,0.0,0.0
"Brodo di verdura, preparato",Cibi/Brodi e zuppe,per 100 g di parte edibile,26,6,0.4,0.1,0.2,0.1,0,0.4,0.1,0.2,0.0,0.3,0.9,0.0,97.5,0,0,0,2,2,0.11,0.01,0.0,0.0,0.1,1.0,0.03,0.0,0.0,8.0,360.0,280.0,1.0,4.0,3.0,0.1,3.6,0.0,0.0
Brunsli di Basilea,Dolciumi/Biscotti,per 100 g di parte edibile,2150,515,29.9,5.7,16.4,5.4,0,43.3,39.4,3.3,6.8,14.9,0.1,0.0,7.5,1,0,0,5,5,0.09,0.51,0.08,0.04,1.03,28.3,0.31,0.2,0.0,550.0,56.0,100.0,140.0,140.0,270.0,3.1,1.5,2.0,0.0
Buccia d'arancia candita,Dolciumi/Altri dolciumi,per 100 g di parte edibile,1300,306,0.3,0.1,0.1,0.1,0,74.3,74.3,0.0,2.3,0.4,0.0,0.0,21.5,33,17,0,200,200,0.04,0.03,0.06,0.0,0.3,4.0,0.15,4.0,0.0,70.0,1.0,1.0,50.0,7.0,7.0,0.3,0.5,0.1,0.0
"Budino, al caramello",Dolciumi/Creme e budini,per 100 g di parte edibile,527,125,2.1,1.4,0.6,0.1,12,23.0,20.1,2.9,0.1,3.4,0.2,0.0,69.3,38,38,37,8,8,0.03,0.2,0.03,0.3,0.1,8.0,0.0,0.0,0.1,150.0,70.0,95.0,94.0,9.0,77.0,0.0,6.2,0.3,0.0
"Budino, al cioccolato",Dolciumi/Creme e budini,per 100 g di parte edibile,511,121,2.6,0.5,1.1,0.9,3,21.0,12.1,8.9,1.0,3.0,0.3,0.0,71.2,25,24,22,19,19,0.14,0.16,0.02,0.08,0.3,3.0,0.2,2.0,0.0,180.0,130.0,51.0,90.0,14.0,80.0,0.5,3.2,0.4,0.0
"Budino, alla vaniglia",Dolciumi/Creme e budini,per 100 g di parte edibile,429,102,2.1,0.3,0.9,0.8,7,18.0,10.4,7.6,0.1,2.8,0.3,0.0,76.2,31,30,29,13,13,0.1,0.14,0.02,0.09,0.3,0.0,0.3,0.0,0.0,120.0,140.0,120.0,96.0,10.0,40.0,0.1,5.9,0.3,0.0
Bürli di San Gallo (farina semi-bianca),"Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria",per 100 g di parte edibile,979,231,1.0,0.1,0.1,0.5,0,44.6,0.3,43.9,3.5,9.1,2.1,0.0,42.5,0,0,0,0,0,0.15,0.07,0.18,0.0,0.78,20.7,0.37,0.0,0.0,140.0,840.0,1280.0,16.0,37.0,130.0,1.7,1.2,1.2,2.7
Burro da cucina,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,3060,745,82.2,49.3,19.3,3.8,221,0.7,0.6,0.0,0.0,0.5,0.0,0.0,16.6,856,825,794,374,370,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.3,20.0,10.0,12.0,16.0,1.4,21.0,0.0,0.0,0.2,0.5
Burro del caseificio,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,3070,747,82.5,49.5,19.4,3.8,246,0.6,0.5,0.0,0.0,0.4,0.0,0.0,16.5,856,825,794,374,370,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.3,18.0,10.0,11.0,12.0,1.0,18.0,0.0,0.0,0.2,0.0
Burro di arachidi,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,per 100 g di parte edibile,2630,636,51.8,12.8,19.9,16.9,0,12.5,6.4,5.8,7.6,26.1,0.9,0.0,1.1,0,0,0,0,0,0.17,0.1,0.58,0.0,15.0,53.0,1.24,0.0,0.0,700.0,350.0,520.0,37.0,180.0,330.0,2.0,0.0,3.0,3.0
Burro di cacao,Grassi e oli/Grassi,per 100 g di parte edibile,3700,900,100.0,59.7,32.9,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burro per arrostire,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,3640,885,98.3,58.9,23.1,4.5,282,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.1,782,766,749,199,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,5.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0
Burro semigrasso,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1610,391,39.8,24.1,12.0,1.5,140,3.5,3.5,0.0,0.0,4.8,0.3,0.0,51.9,360,340,320,240,240,0.03,0.01,0.02,0.5,0.97,10.0,0.35,0.0,1.4,160.0,120.0,120.0,120.0,14.0,90.0,0.0,3.5,0.4,0.0
Burro speciale,Grassi e oli/Grassi;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,3070,746,82.3,49.4,19.3,3.8,241,0.7,0.6,0.0,0.0,0.7,0.0,0.0,16.4,833,802,771,374,370,0.0,0.04,0.0,0.07,0.04,0.0,0.06,0.0,1.1,21.0,10.0,13.0,18.0,1.5,22.0,0.0,8.0,0.2,0.5
Cacao in polvere,Dolciumi/Cioccolato e prodotti a base di cacao;Bevande analcoliche/Bevande al cacao,per 100 g di parte edibile,1740,419,24.5,14.4,8.2,0.8,0,10.8,2.2,8.6,32.7,22.5,0.0,0.0,5.1,7,3,0,40,40,0.13,0.4,0.14,0.0,2.7,38.0,1.1,0.0,0.0,1920.0,17.0,32.0,110.0,410.0,660.0,13.0,2.8,5.7,0.0
"Cachi, crudo",Frutta/Frutta fresca,per 100 g di parte edibile,297,70,0.3,0.0,0.1,0.1,0,14.3,13.9,0.0,3.4,0.9,0.0,0.0,81.8,57,28,0,341,81,0.04,0.08,0.03,0.0,0.2,19.0,0.14,15.1,0.0,160.0,5.0,33.0,6.9,7.2,13.0,0.1,1.8,0.4,0.0
"Caffè lungo, con cremino, non zuccherato",Bevande analcoliche/Caffè,per 100 ml,55,13,1.1,0.7,0.3,0.1,4,0.5,0.3,0.0,0.1,0.3,0.0,0.0,98.0,11,11,10,6,6,0.0,0.01,0.0,0.04,0.13,0.2,0.03,0.1,0.0,35.0,6.9,6.4,14.0,3.7,8.7,0.0,0.9,0.0,0.0
"Caffè solubile, in polvere",Bevande analcoliche/Caffè,per 100 g di parte edibile,1070,253,0.0,0.0,0.0,0.0,0,42.6,3.6,7.1,19.1,11.2,0.1,0.0,3.5,0,0,0,0,0,0.01,0.11,0.03,0.0,22.0,1.0,0.4,0.0,0.0,4380.0,58.0,50.0,170.0,390.0,350.0,4.4,20.0,0.5,0.0
"Caffè, nero, non zuccherato",Bevande analcoliche/Caffè,per 100 ml,6,2,0.0,0.0,0.0,0.0,0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,99.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,26.0,1.3,1.3,8.0,3.3,2.1,0.0,0.1,0.0,0.0
"Caffelatte (scuro), non zuccherato",Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè,per 100 ml,65,16,0.9,0.5,0.2,0.0,3,1.2,1.0,0.0,0.1,0.7,0.0,0.0,97.1,10,10,9,4,4,0.0,0.05,0.01,0.03,0.13,0.9,0.08,0.2,0.0,54.0,9.2,21.0,32.0,4.8,21.0,0.0,2.1,0.1,0.0
"Caffelatte, chiaro, non zuccherato",Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè,per 100 ml,90,22,1.2,0.8,0.3,0.1,5,1.6,1.4,0.0,0.1,1.0,0.0,0.0,96.1,14,14,13,6,6,0.01,0.07,0.01,0.05,0.13,1.3,0.11,0.3,0.0,65.0,13.0,30.0,42.0,5.4,29.0,0.0,3.0,0.1,0.0
"Caffelatte, non zuccherato",Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè,per 100 ml,81,19,1.1,0.7,0.3,0.1,4,1.4,1.3,0.0,0.1,0.9,0.0,0.0,96.5,13,12,12,5,5,0.01,0.06,0.01,0.04,0.13,1.2,0.1,0.3,0.0,61.0,11.0,26.0,38.0,5.1,26.0,0.0,2.6,0.1,0.0
Cake alla finanziera,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1840,440,26.1,8.0,11.5,3.8,31,38.5,29.9,8.3,3.3,11.1,0.1,0.0,22.3,101,98,94,44,44,0.06,0.35,0.05,0.08,0.57,17.3,0.21,0.1,0.2,260.0,45.0,56.0,80.0,71.0,150.0,1.0,1.9,1.0,3.7
Cake alla tirolese,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1720,412,23.1,10.3,9.0,1.7,95,41.4,20.4,20.1,2.5,8.3,0.1,0.0,25.4,129,125,121,51,51,0.11,0.11,0.11,0.25,0.29,16.2,0.63,0.3,0.7,250.0,55.0,100.0,54.0,40.0,130.0,1.7,9.5,1.1,0.0
Cake marmorizzato,"Dolciumi/Dolci, torte e cake",per 100 g di parte edibile,1490,356,17.1,9.5,4.3,1.2,109,42.6,19.7,22.7,1.3,7.4,0.2,0.0,32.0,149,144,139,57,57,0.07,0.12,0.07,0.29,0.16,10.1,0.55,0.2,0.8,140.0,63.0,110.0,44.0,19.0,110.0,1.0,10.0,0.8,0.0
"Calamaro, crudo",Pesce/Frutti di mare e crostacei,per 100 g di parte edibile,352,83,1.1,0.2,0.1,0.3,150,2.3,0.0,0.0,0.0,16.0,0.4,0.0,79.4,75,75,75,0,0,0.02,0.2,0.06,1.3,2.2,13.0,0.0,5.0,0.0,270.0,160.0,0.0,14.0,40.0,200.0,0.6,20.0,1.1,0.0
Calimocho (Vino rosso con cola),Bevande analcoliche/Bevande zuccherate;Bevande alcoliche/Altre bevande alcoliche,per 100 ml,228,55,0.0,0.0,0.0,0.0,0,5.2,5.1,0.0,0.0,0.1,0.0,4.8,90.0,0,0,0,0,0,0.0,0.01,0.01,0.0,0.05,0.0,0.05,0.0,0.0,58.0,7.0,10.0,6.5,8.0,15.0,0.5,6.0,0.1,0.0
Cannella,"Diversi/Sale, spezie e aromi",per 100 g di parte edibile,1330,317,3.2,0.9,0.6,0.7,0,56.0,55.4,0.6,24.4,3.9,0.1,0.0,9.0,30,15,0,177,112,0.08,0.14,0.0,0.0,1.3,0.0,0.0,0.0,0.0,500.0,26.0,220.0,1230.0,56.0,61.0,38.0,5.0,2.0,3.1
"Cannelloni con carne, preparati",Cibi/Cibi italiani,per 100 g di parte edibile,742,177,9.0,4.8,2.7,0.5,34,13.8,2.1,11.3,1.6,9.5,0.7,0.0,66.2,150,111,72,471,471,0.03,0.07,0.09,0.27,0.99,10.1,0.24,3.5,0.2,160.0,270.0,510.0,94.0,18.0,120.0,1.0,4.7,1.7,0.0
"Cannelloni con ricotta e spinaci, preparati",Cibi/Cibi italiani,per 100 g di parte edibile,920,221,14.3,8.2,3.7,0.8,38,14.6,1.5,12.6,1.5,7.8,0.9,0.0,62.0,278,204,131,881,881,0.03,0.17,0.08,0.26,0.55,13.2,0.23,5.3,0.2,210.0,340.0,600.0,200.0,37.0,160.0,0.7,10.0,1.0,0.0
"Cappuccino (senza polvere di cioccolato), non zuccherato",Latte e prodotti di latte/Bevande a base di latte e yogurt;Bevande analcoliche/Caffè,per 100 ml,155,37,2.2,1.3,0.5,0.1,8,2.6,2.5,0.0,0.0,1.7,0.1,0.0,93.4,25,25,24,10,10,0.01,0.12,0.02,0.09,0.11,2.3,0.2,0.5,0.0,93.0,21.0,52.0,67.0,6.6,50.0,0.0,5.2,0.2,0.6
"Capra (media), cruda",Carne e frattaglie/Altre specie animali,per 100 g di parte edibile,623,149,7.9,3.6,3.3,0.4,70,0.0,0.0,0.0,0.0,19.5,0.1,0.0,71.6,36,36,36,0,0,0.15,0.28,0.3,3.0,4.9,5.0,0.5,0.0,0.0,300.0,50.0,9.0,10.0,20.0,190.0,2.0,1.0,3.0,0.0
"Capriolo (media), crudo ",Carne e frattaglie/Selvaggina,per 100 g di parte edibile,512,122,3.6,1.6,1.5,0.2,70,0.0,0.0,0.0,0.0,22.4,0.2,0.0,72.9,0,0,0,0,0,0.1,0.25,0.3,1.0,6.4,5.0,0.8,0.0,0.4,340.0,84.0,40.0,25.0,20.0,220.0,3.0,0.6,3.0,0.0
"Capriolo, spezzatino, crudo",Carne e frattaglie/Selvaggina,per 100 g di parte edibile,444,105,1.9,0.5,0.3,0.5,65,0.0,0.0,0.0,0.0,22.0,0.1,0.0,74.0,0,0,0,0,0,0.26,0.6,0.39,6.3,0.0,6.0,0.69,0.0,0.3,310.0,45.0,40.0,3.7,20.0,180.0,2.7,0.8,4.7,0.0
"Capuns, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,687,165,10.2,5.1,3.2,0.8,59,9.7,0.9,8.5,0.8,8.0,1.0,0.0,71.3,169,120,72,582,582,0.09,0.1,0.09,0.59,1.51,17.2,0.53,4.3,0.4,180.0,380.0,560.0,42.0,17.0,84.0,1.0,7.3,1.0,0.0
Caramella alla panna,Dolciumi/Caramelle e gomme da masticare,per 100 g di parte edibile,1490,351,3.6,2.2,1.1,0.1,11,79.3,79.3,0.0,0.0,0.4,0.3,0.0,16.0,43,41,39,21,21,0.03,0.04,0.0,0.0,0.01,1.0,0.04,0.1,0.1,120.0,120.0,25.0,21.0,5.0,16.0,0.8,1.1,0.1,0.0
Caramella dura,Dolciumi/Caramelle e gomme da masticare,per 100 g di parte edibile,1630,385,0.3,0.2,0.1,0.0,0,95.0,95.0,0.0,0.0,0.5,0.1,0.0,4.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,73.0,4.0,3.0,12.0,0.1,0.0,0.0,0.0
Caramella gommosa all'aroma di frutta,Dolciumi/Caramelle e gomme da masticare,per 100 g di parte edibile,1450,341,0.0,0.0,0.0,0.0,0,78.6,74.7,3.9,0.0,6.6,0.2,0.0,12.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,62.0,160.0,9.0,2.0,4.0,0.2,0.0,1.4,0.0
Caramella morbida,Dolciumi/Caramelle e gomme da masticare,per 100 g di parte edibile,1880,448,17.2,10.1,5.8,0.5,0,71.1,71.1,0.0,0.0,2.1,0.8,0.0,7.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,320.0,400.0,95.0,25.0,64.0,1.5,0.0,0.0,0.0
"Carciofo, cuore, in scatola, sgocciolato",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,114,27,0.5,0.0,0.0,0.0,0,2.3,1.2,0.4,3.2,1.8,0.8,0.0,90.5,4,2,0,25,25,0.02,0.03,0.03,0.0,0.39,54.3,0.13,12.2,0.3,150.0,310.0,500.0,25.0,18.0,34.0,0.4,20.0,0.3,20.0
"Carne (in media, senza interiora), cruda","Carne e frattaglie/Vitello;Carne e frattaglie/Pollame;Carne e frattaglie/Agnello, pecora;Carne e frattaglie/Manzo;Carne e frattaglie/Maiale;Carne e frattaglie/Selvaggina",per 100 g di parte edibile,611,146,6.7,2.4,2.9,0.7,62,0.0,0.0,0.0,0.0,21.4,0.1,0.0,71.9,6,6,5,2,2,0.45,0.18,0.46,1.32,5.55,5.8,0.82,0.1,0.6,330.0,59.0,66.0,6.5,22.0,190.0,1.1,2.0,2.7,0.0
"Carne di maiale (media, senza interiora, cotoletta, stinco), cruda",Carne e frattaglie/Maiale,per 100 g di parte edibile,671,160,8.3,2.9,3.6,0.8,63,0.0,0.0,0.0,0.0,21.4,0.2,0.0,70.3,3,3,3,0,0,0.83,0.2,0.49,0.77,4.41,3.4,0.81,0.0,0.3,330.0,64.0,66.0,6.0,21.0,180.0,1.0,1.1,2.7,0.0
"Carne di manzo (media, senza interiora e costine), cruda",Carne e frattaglie/Manzo,per 100 g di parte edibile,565,134,5.4,2.4,2.3,0.3,53,0.0,0.0,0.0,0.0,21.4,0.1,0.0,73.2,7,6,5,10,10,0.07,0.15,0.31,2.85,4.85,5.9,0.68,0.0,0.2,330.0,45.0,69.0,4.5,20.0,180.0,1.8,1.6,4.5,0.0
"Carne di pollame (media, senza interiora), cruda",Carne e frattaglie/Pollame,per 100 g di parte edibile,563,134,5.3,1.6,2.4,1.0,65,0.1,0.0,0.0,0.0,21.6,0.1,0.0,73.1,10,10,10,0,0,0.12,0.15,0.56,0.46,8.31,9.6,0.86,0.4,0.9,310.0,59.0,68.0,7.5,25.0,200.0,0.5,5.1,0.9,0.0
